store_nbr,product_nbr,tickets,sales,quantity_dimless
6,370390,649,334991,748
4,1000225,58,51192,58
6,1001084,14,43688,16
2,643525,286,323359,397
11,950457,75,81480,97
16,749855,295,275848,291
4,535052,227,485500,247
12,318007,668,1182980,708
14,546135,63,191237,73
17,409161,13,31416,14
9,750352,377,788388,416
5,656706,88,170577,99
8,721941,8,7900,10
10,938414,15,33900,15
0,276302,30,39760,46
3,949561,1699,7136723,1837
16,934865,9,67980,10
2,966022,6,25196,9
2,818393,50,164360,52
9,954363,67,179315,90
15,4199,832,601688,902
4,574373,94,183216,98
17,915868,253,565817,256
11,294099,1184,699687,1017
5,330082,288,554014,311
9,815757,369,454678,386
17,984955,68,200540,77
3,336806,2625,2864631,3421
16,645526,2874,3404159,3262
11,488247,2867,3352435,3857
10,966022,28,136910,29
1,8087,855,809523,1087
16,596715,1278,515584,1491
6,6423,119,363087,128
16,281387,9,16668,10
15,860270,18,209500,19
4,806204,631,449933,845
15,282941,54,234444,55
17,742135,488,1128888,492
9,889785,377,954160,427
15,674532,1973,2402065,2463
6,643543,668,531319,759
10,10172,147,346556,150
13,11386,1106,988610,1207
15,939531,186,48009,222
15,850571,70,147009,81
5,819638,30,35058,38
5,980953,37,210391,47
12,298469,1314,976655,1650
3,533809,173,289596,178
3,309431,4441,5520367,5101
7,1307,109,165176,127
2,603723,889,9274562,1176
5,315575,732,861805,1002
1,293069,570,1905942,576
16,876980,40,36146,44
6,689960,371,1625128,532
15,329684,156,411654,160
10,4401,5918,7039667,8560
8,1008201,48,40320,48
13,876846,1,168,1
6,1391,15,91577,17
11,800983,116,160434,145
17,882549,402,1286916,425
13,328944,109,150612,117
4,462067,1011,1874175,1072
3,671533,1067,1183548,1570
11,630130,178,623195,204
11,860130,104,408688,108
9,414209,86,269896,88
16,833231,81,85680,102
10,1008607,153,329360,179
9,940587,2,6706,2
13,580224,144,305800,150
8,2161,8,9345,10
16,895445,123,200358,163
11,490322,229,2499923,234
0,673342,3,33604,3
3,642761,145,383277,155
4,804236,10,54090,13
9,931637,1,1504,1
6,291971,1782,1825994,3075
0,948363,24,62168,24
5,659115,18,27601,25
5,907962,288,934238,310
6,800518,383,360648,430
13,924841,32,39336,36
2,992100,139,309037,109
5,749865,22,41874,23
0,2769,2423,2026922,2751
0,576268,17,35581,17
9,961385,9,51244,10
5,628466,1213,2694661,1251
11,884376,477,577840,417
13,349963,228,743878,271
10,998256,117,194288,120
10,1017837,27,107996,28
18,299441,45,50472,54
6,853818,194,376987,200
13,894722,393,786151,482
5,5565,3345,1554918,4956
0,715626,14,113360,15
0,961005,20,22464,27
10,970628,622,350904,631
6,998037,684,715806,762
4,819767,19,151100,20
19,991441,522,421912,559
8,738352,4,7512,4
19,129608,32,108101,37
15,3435,1214,536811,1851
18,824072,334,462560,356
15,955708,302,271736,310
3,851948,418,487164,564
9,472366,7,7201,8
16,478222,215,1196050,215
11,768603,131,208958,150
17,737430,27,77737,37
11,291111,32,99197,37
5,739216,26,278774,26
13,981081,12,63783,12
13,4653,661,746408,828
0,129608,328,1129660,387
11,996241,3,2496,3
5,963480,1946,2119910,2524
1,11577,16,33488,16
17,693513,415,2274684,459
9,304851,1796,2811217,1680
9,698306,96,134198,110
9,5865,301,295198,321
17,336862,804,1104029,916
3,760132,138,168957,198
15,280637,1754,2172009,2075
13,978510,239,258319,252
3,395830,89,130009,78
5,995544,171,248664,358
9,574202,39,27651,65
3,5041,4196,6374466,4302
0,995534,62,148480,86
13,968552,81,172933,81
10,951105,8,141999,10
18,637027,1421,537826,1781
10,954562,2,6495,2
5,286779,145,453908,182
15,749855,5,2940,7
9,924841,23,28037,23
9,970436,22,146036,23
2,4511,127,643278,99
0,288419,579,1148341,602
8,663276,1,924,1
5,746611,101,316428,126
17,850120,1280,1449736,1502
2,281659,96,239505,126
15,954369,33,345126,37
4,670144,1135,1284926,1245
5,861759,962,671004,1177
15,280603,40,38847,43
15,992577,149,161134,152
16,289385,127,157896,216
8,914938,5,5840,5
0,998758,6,20531,7
5,353113,7,20531,7
9,690004,25,94659,25
5,956115,273,266574,316
3,1003969,4,20965,5
17,296533,337,217325,471
6,120596,726,878247,883
4,5817,235,549781,251
18,1989,1341,1673907,1492
10,429646,75,167132,89
4,905241,6,22134,6
5,2429,264,193758,402
17,287019,413,723333,493
4,289893,1,1471,1
15,999666,6,19696,6
16,319399,51,202087,56
8,43765,5,29960,5
2,379872,24,41383,35
7,5629,996,1037642,1067
4,888154,12,53777,12
10,905253,1106,4293249,1203
9,318567,11,67974,11
0,903159,8,8672,8
9,864660,175,136457,236
2,968852,141,152718,160
2,598122,36,146864,38
15,489348,10,5196,10
13,960026,19,67006,24
4,913856,681,1296697,873
13,801308,19,19548,24
3,285435,191,286970,206
16,734216,28,114891,29
5,289069,9,8976,12
2,711330,36,58981,36
11,6411,976,2031305,1022
18,962037,37,140629,41
5,286609,486,213602,521
2,297129,264,480671,334
9,286153,70,147117,81
10,688749,266,326106,299
10,900639,15,4116,19
9,287605,14,59857,17
8,316865,3,5925,3
13,5759,2037,9398202,2933
9,696419,493,776877,511
15,722217,5240,31407838,6305
5,887825,852,1043013,1017
1,570968,29,49518,50
16,997607,18,43821,23
9,568453,824,2084354,1160
2,939072,8,20064,12
16,905241,8,29512,8
16,297407,927,795166,954
15,886629,7,33544,8
0,878173,505,972666,588
10,877611,21,123744,23
4,889937,14,25890,15
10,650744,8,106622,13
16,203810,6290,14927740,6290
1,11238,1152,770833,1622
3,857783,30,62369,30
9,11232,149,744919,158
6,283933,136,225401,142
10,624257,3,10604,3
12,122934,121,361768,107
9,441576,454,624482,563
17,376796,82,134932,84
0,300465,2275,3581763,2553
14,839612,1580,675366,1995
9,931065,39,75044,45
6,622813,2,3278,2
13,950027,96,125521,112
9,1001094,12,34839,12
15,318999,342,249706,364
10,301809,13,29876,14
12,1069849,10,5460,10
0,917222,3524,1602078,3269
11,916382,2163,1215950,2706
4,838362,411,695451,416
8,299097,1,1504,1
2,497500,50,96791,66
5,992577,87,104631,97
4,955019,126,1927373,129
5,993015,165,191478,200
0,772504,643,179885,752
4,893032,679,1812010,863
5,640545,466,802154,484
10,767059,16,28768,16
15,329180,3587,4123283,4522
4,983502,10,117642,14
10,944413,1070,2562978,1211
18,294909,22,48816,22
7,293509,124,216262,130
3,836077,2120,3502272,2528
4,850571,42,80232,46
11,941458,283,157959,326
13,291525,259,355252,313
4,824698,6,3480,6
3,615084,320,1324141,367
9,984884,364,395882,476
6,305519,61,196497,61
5,281689,11050,18530501,15504
10,121010,7,13880,8
10,650748,16,174656,16
3,311245,337,1107723,538
6,910212,41,206418,44
10,292597,103,264090,128
10,882219,540,585153,727
13,537948,149,334012,154
16,603717,144,2139431,158
0,990312,4,8360,5
0,918535,16,22245,18
5,1001962,16,20032,16
0,917574,143,615014,151
9,858483,8,22646,8
18,958005,7,29351,7
3,751454,128,215375,133
10,335234,639,1004117,700
11,864404,2350,2891793,2571
0,931637,30,48884,33
4,531693,27,2840000,27
9,589852,3843,4182057,4746
11,615086,218,246213,322
17,315545,1,1681,1
3,968554,67,330914,72
16,292677,83,151530,100
13,9555,1442,491536,2133
6,1013500,15,11952,18
13,980963,32,287189,36
11,1001888,16,229274,16
6,562796,2,9244,2
0,293021,324,341042,353
10,906428,48,60480,72
3,917611,20,34419,21
3,722301,5540,9021276,6256
11,296841,230,127844,372
15,999478,194,263959,214
16,485196,2234,1620110,3558
2,299527,88,56273,107
13,848732,767,1053707,905
7,293893,85,118406,86
13,996594,77,618171,78
9,937831,430,454124,472
0,310725,21,51484,22
8,927631,6,4311,9
15,940814,42,44100,42
11,4087,648,2545639,805
4,968554,2,9396,2
12,965246,3,8429,3
14,900535,85,97504,118
0,959804,2435,1545627,2661
2,489743,13,27881,13
8,279101,1,689,1
3,532153,843,1849994,867
6,802544,3,11571,3
3,990302,20,75443,23
17,913908,249,975337,262
2,599636,134,103528,250
15,874144,78,54688,95
8,293933,6,4640,8
6,5949,72,188772,77
1,413067,165,202289,241
17,517258,128,452260,135
7,464762,1118,713134,1617
17,3959,532,434904,926
16,295969,300,276679,367
3,533803,349,366145,355
10,851162,1813,2137551,2312
15,996680,3333,3346089,3985
16,731049,4,9040,4
10,281111,209,237138,260
5,982147,45,93184,56
10,297325,18,108542,23
8,667083,6,12552,6
0,892806,1,840,1
11,926563,105,299047,119
6,821537,153,366867,169
11,992011,87,127073,88
11,5235,1083,1097609,1335
19,911930,23,20289,25
19,573682,240,190442,261
15,1003217,24,80472,24
4,940497,400,753667,417
15,849562,100,267155,104
13,299567,264,485886,282
6,311951,798,649629,1200
0,416720,42,41068,43
7,857634,40,170218,44
2,669937,48,137083,56
12,672700,161,214419,187
12,476644,1531,1120459,1766
1,825841,1299,878878,1808
13,926399,1,3353,1
15,384400,104,559527,110
17,950077,8,25143,8
11,983846,4,52068,4
0,298761,290,432790,299
1,6423,98,291666,102
5,938254,177,377814,266
0,5481,3142,3393432,3398
18,982169,35,13247,48
0,774089,115,306893,116
10,270832,208,295490,239
5,755810,17,20078,20
11,981069,4,29715,4
1,930950,686,478251,849
11,568942,441,1628788,748
5,987555,3,10059,3
15,701985,157,434089,173
2,270742,1,1135,1
14,909286,22,19968,24
9,997791,76,77350,95
5,843679,32,35772,33
18,468967,488,2054100,516
6,567182,58,430634,58
7,1008203,62,93248,62
12,823044,2250,3527003,2379
3,667929,158,299059,173
4,960993,5,20118,6
5,3793,3464,3797611,3553
6,4427,4095,2218088,7803
3,920021,29,30245,30
6,245668,36,41545,39
15,721,75,224437,83
0,745814,12,12600,12
6,299681,508,862816,689
19,9787,487,510616,572
6,924499,4,10084,4
5,990234,26,30183,32
5,879450,21,73766,22
3,297407,902,789095,957
4,474511,1788,1721979,1675
0,759268,14,50295,15
10,939919,149,522445,156
17,720143,396,621307,516
2,893038,122,153519,183
14,767227,390,564437,395
6,916222,1902,807637,2551
17,577762,914,734357,1099
2,997859,79,62285,73
13,843673,26,30352,28
4,860282,19,52309,21
17,1015527,459,414760,494
13,317361,1295,1328447,2360
5,5579,370,743513,393
17,654966,50,62116,53
9,283939,168,483272,204
2,322821,14,52119,17
0,877430,3,19386,3
6,900771,47,164311,47
9,962473,17,53464,17
6,941638,286,438402,317
2,2181,798,977083,917
16,300645,96,250041,117
10,290411,141,470333,179
11,298321,673,601527,907
6,330810,39,130883,46
7,972573,55,57628,93
5,738556,355,270520,568
9,539508,16,29400,28
15,939921,33,142164,33
9,951089,21,270443,24
6,6831,2118,1917076,2234
5,275892,523,578563,565
19,881718,37,52584,42
11,3779,137,190670,161
2,950587,261,297310,356
15,990250,12,96966,12
0,699416,112,385718,125
3,116736,55,95776,82
5,6101,155,235020,159
5,917647,15,27424,16
9,298197,2177,1534867,2325
11,271208,12,56315,12
16,823790,369,403973,461
6,962479,470,317260,688
15,940897,57,328098,57
6,5565,1476,596277,1917
13,320137,591,1806050,607
4,300787,465,382521,588
13,292997,41,133615,41
10,973358,51,50529,60
9,824938,3822,4202182,5118
17,890817,336,419795,369
15,859414,1797,2308587,3220
12,5829,350,748393,413
3,737446,52,886465,81
16,269926,1428,773690,2295
19,425,174,377211,183
16,388212,796,535527,991
10,744187,1230,1992347,1982
9,594285,70,111692,73
6,542060,64,497424,91
17,279335,413,997937,424
6,4299,134,112647,105
11,868654,4,21409,4
5,669137,205,417577,230
13,284957,110,304381,125
6,3877,1725,4063530,2076
0,767552,444,550578,469
3,442704,5313,6799776,5955
0,924005,85,227847,91
13,853387,42,90678,46
5,971868,175,192432,201
13,375927,125,245840,140
4,955829,10,30842,10
6,955500,59,200139,60
12,900557,7,13376,8
6,299975,583,394399,827
10,923837,66,136345,69
2,663274,246,173222,315
10,973356,64,59590,71
15,825215,5,26050,5
11,954409,232,350592,242
8,909733,11,12848,11
6,953521,100,226538,128
10,645171,266,586411,306
0,282303,1375,1342965,1454
0,722223,1836,14080760,2145
13,306873,538,1048928,612
0,906504,10,10076,11
10,967621,109,911616,132
2,966455,14,23408,14
6,771162,471,479873,520
6,936155,2,1680,2
6,961571,21,40877,25
1,842830,297,1349600,322
16,296607,195,141065,209
16,944967,317,364503,352
4,971960,50,52552,61
19,767227,503,752114,516
5,630215,146,262312,157
5,872019,145,1465403,185
7,605,1099,416596,1360
11,849336,7,23471,7
5,861623,33359,28355211,37673
5,949155,236,389156,359
12,2111,1071,716925,1213
11,587710,12,68901,12
9,770262,628,1107667,772
3,4187,4822,2785888,7663
15,298109,217,128582,471
11,832259,19,39988,18
0,720301,698,1367303,843
4,460418,9,10080,12
6,830466,63,175555,73
